key,year,num_outgoing_links,num_incoming_links
OPS5,,,1.0
Oaklisp,1986.0,3.0,3.0
Oberon,1987.0,10.0,4.0
Oberon-2,1991.0,6.0,4.0
ObjVlisp,,1.0,
Object Oberon,1989.0,2.0,2.0
Object Pascal,1986.0,6.0,3.0
Object REXX,1988.0,1.0,3.0
Object-Oriented Turing,1982.0,1.0,7.0
Objective-C,1984.0,8.0,2.0
Objective-C++,1984.0,6.0,3.0
Objective-J,,,3.0
Occam,1983.0,3.0,1.0
Opa,2011.0,,4.0
OpenLisp,1988.0,,4.0
OpenVera,,1.0,
Orwell,1984.0,1.0,1.0
Oxygene,2005.0,,4.0
Oz,1991.0,2.0,3.0
PACT I,,,4.0
PHP,1995.0,4.0,10.0
PL/0,,1.0,
PL/I,,8.0,6.0
PL/SQL,,,1.0
PL/pgSQL,,,1.0
PLEX,1970.0,1.0,
POP-11,,,1.0
POP-2,,,4.0
PSB-Prolog,,1.0,
ParaSail,2009.0,1.0,4.0
Pascal,1970.0,32.0,5.0
Patcher,,1.0,
Perl,1987.0,16.0,8.0
Pike,,,1.0
Pizza,,2.0,1.0
Plankalkül,1948.0,3.0,1.0
Planner,1969.0,2.0,1.0
Polymorphic Programming Language,,1.0,1.0
Polyphonic C sharp,2002.0,1.0,2.0
Pony,,,1.0
Portable Document Format,,,1.0
PostScript,1982.0,1.0,5.0
PowerShell,2006.0,,11.0
Processing,2001.0,,1.0
Profile Scripting Language,1998.0,,1.0
Project Verona,2019.0,,2.0
Prolog,1972.0,14.0,2.0
Puppet (software),,2.0,
PureData,1996.0,,2.0
PureScript,2013.0,,2.0
Pyomo,2008.0,,3.0
Python,1991.0,27.0,18.0
Q (programming language from Kx Systems),2003.0,,4.0
QB64,2007.0,,3.0
QBASIC,1991.0,3.0,2.0
QBasic,1991.0,4.0,2.0
QML,2009.0,2.0,4.0
Qore,,,5.0
Qt (framework),,1.0,1.0
QuickBASIC,,4.0,
QuickBasic,,,1.0
R,1993.0,1.0,4.0
REBOL,1997.0,2.0,4.0
REXX,1979.0,2.0,4.0
RPL,1984.0,,3.0
Racket,1995.0,3.0,2.0
Raku,2015.0,2.0,5.0
Ratfor,1976.0,,5.0
Rebol,1997.0,2.0,4.0
Red,2011.0,,5.0
Redux (JavaScript library),,,1.0
Reia,2012.0,1.0,3.0
Reverse Polish Notation,,1.0,
